894,177195
894.5,177261
895,177234
895.5,177317
896,177477
896.5,177421
897,177374
897.5,177618
898,177757
898.5,177735
899,177836
899.5,177980
900,177961

